Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-07-02 14:37:22 CDT,8.05,20.24,0.059,7.75,0.0,0.45,0.46
2025-07-02 14:37:22 CDT,9.29,12.64,0.088,7.73,0.0,0.7,0.68
2025-07-02 14:37:22 CDT,4.53,25.45,0.08,7.73,0.0,0.63,0.62
2025-07-02 14:37:22 CDT,0.27,21.94,0.081,7.73,0.0,0.63,0.63
2025-07-02 14:37:23 CDT,1.18,21.65,0.085,7.73,0.0,0.65,0.66
2025-07-02 14:37:23 CDT,0.9,19.15,0.083,7.72,0.0,0.65,0.64
2025-07-02 14:37:23 CDT,4.35,38.28,0.085,7.72,0.0,0.65,0.66
2025-07-02 14:37:23 CDT,0.7,34.77,0.088,7.73,0.0,0.7,0.68
2025-07-02 14:37:23 CDT,-6.97,19.37,0.079,7.72,0.0,0.63,0.61
2025-07-02 14:37:23 CDT,-5.57,17.0,0.079,7.73,0.0,0.63,0.61
2025-07-02 14:37:24 CDT,-3.38,22.62,0.079,7.73,0.0,0.57,0.61
2025-07-02 14:37:24 CDT,-3.72,20.28,0.026,7.75,0.0,0.17,0.2
2025-07-02 14:37:24 CDT,-6.24,26.82,0.093,7.72,0.0,0.73,0.72
2025-07-02 14:37:24 CDT,-11.12,24.25,0.916,7.11,0.0,6.53,6.51
2025-07-02 14:37:24 CDT,-11.82,37.28,0.083,7.72,0.0,0.65,0.64
2025-07-02 14:37:24 CDT,-3.53,23.28,0.076,7.73,0.0,0.57,0.59
2025-07-02 14:37:25 CDT,0.03,25.08,1.734,6.92,0.0,12.25,12.0
2025-07-02 14:37:25 CDT,-4.53,14.29,0.038,7.74,0.0,0.27,0.29
2025-07-02 14:37:25 CDT,-4.53,18.87,0.085,7.72,0.0,0.65,0.66
2025-07-02 14:37:25 CDT,-5.59,22.48,0.646,7.32,0.0,4.93,4.73
2025-07-02 14:37:25 CDT,-5.69,22.59,0.084,7.73,0.0,0.65,0.65
2025-07-02 14:37:25 CDT,-1.27,21.99,0.08,7.73,0.0,0.63,0.62
2025-07-02 14:37:26 CDT,-2.78,20.34,0.093,7.72,0.0,0.5,0.72
2025-07-02 14:37:26 CDT,-2.17,20.28,0.088,7.72,0.0,0.78,0.68
2025-07-02 14:37:26 CDT,3.18,14.24,0.085,7.72,0.0,0.65,0.66
2025-07-02 14:37:26 CDT,1.35,17.39,0.136,7.65,0.0,1.08,1.04
2025-07-02 14:37:26 CDT,1.77,16.44,0.076,7.73,0.0,0.63,0.59
2025-07-02 14:37:27 CDT,6.58,13.27,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:27 CDT,4.25,11.63,0.071,7.72,0.0,0.53,0.55
2025-07-02 14:37:27 CDT,4.32,13.78,0.086,7.72,0.0,0.65,0.66
2025-07-02 14:37:27 CDT,9.39,2.97,0.094,7.72,0.0,0.73,0.73
2025-07-02 14:37:27 CDT,6.66,10.38,0.095,7.71,0.0,0.73,0.73
2025-07-02 14:37:27 CDT,6.58,10.51,0.079,7.72,0.0,0.63,0.61
2025-07-02 14:37:28 CDT,5.3,7.24,0.089,7.71,0.0,0.7,0.69
2025-07-02 14:37:28 CDT,2.35,5.14,0.046,7.74,0.0,0.27,0.36
2025-07-02 14:37:28 CDT,2.35,5.14,0.088,7.72,0.0,0.7,0.68
2025-07-02 14:37:28 CDT,1.77,4.09,0.096,7.72,0.0,0.73,0.74
2025-07-02 14:37:28 CDT,1.95,6.88,0.09,7.72,0.0,0.7,0.69
2025-07-02 14:37:28 CDT,2.01,6.39,0.081,7.72,0.0,0.63,0.63
2025-07-02 14:37:29 CDT,2.21,15.95,0.084,7.72,0.0,0.65,0.65
2025-07-02 14:37:29 CDT,2.27,14.85,0.02,7.75,0.0,0.17,0.15
2025-07-02 14:37:29 CDT,1.7,18.48,0.086,7.72,0.0,0.65,0.66
2025-07-02 14:37:29 CDT,1.7,5.34,0.075,7.72,0.0,0.7,0.58
2025-07-02 14:37:29 CDT,1.51,6.83,0.079,7.72,0.0,0.63,0.61
2025-07-02 14:37:29 CDT,4.45,1.65,0.075,7.72,0.0,0.57,0.58
2025-07-02 14:37:30 CDT,5.72,11.36,0.08,7.72,0.0,0.57,0.62
2025-07-02 14:37:30 CDT,5.83,9.1,0.088,7.72,0.0,0.7,0.68
2025-07-02 14:37:30 CDT,9.36,18.29,0.035,7.74,0.0,0.33,0.27
2025-07-02 14:37:30 CDT,11.5,14.36,0.085,7.72,0.0,0.7,0.66
2025-07-02 14:37:30 CDT,11.07,12.51,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:30 CDT,13.27,11.74,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:31 CDT,8.42,13.19,0.075,7.72,0.0,0.63,0.58
2025-07-02 14:37:31 CDT,8.2,11.34,0.093,7.72,0.0,0.73,0.72
2025-07-02 14:37:31 CDT,10.67,14.92,0.036,7.74,0.0,0.27,0.28
2025-07-02 14:37:31 CDT,5.52,1.59,0.09,7.72,0.0,0.73,0.69
2025-07-02 14:37:31 CDT,5.29,2.74,0.081,7.72,0.0,0.63,0.63
2025-07-02 14:37:31 CDT,6.81,-3.61,0.089,7.72,0.0,0.57,0.69
2025-07-02 14:37:32 CDT,2.44,5.74,0.078,7.72,0.0,0.57,0.6
2025-07-02 14:37:32 CDT,2.19,3.44,0.084,7.71,0.0,0.65,0.65
2025-07-02 14:37:32 CDT,3.65,12.82,0.035,7.73,0.0,0.73,0.27
2025-07-02 14:37:32 CDT,-1.61,9.97,0.084,7.73,0.0,0.65,0.65
2025-07-02 14:37:32 CDT,-1.8,10.7,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:32 CDT,-4.28,8.53,0.075,7.72,0.0,0.57,0.58
2025-07-02 14:37:33 CDT,-8.39,8.92,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:33 CDT,-8.59,8.53,0.02,7.75,0.0,0.17,0.15
2025-07-02 14:37:33 CDT,-3.45,8.89,0.089,7.73,0.0,0.7,0.69
2025-07-02 14:37:33 CDT,-7.58,13.05,0.085,7.72,0.0,0.65,0.66
2025-07-02 14:37:33 CDT,-7.68,15.23,0.08,7.72,0.0,0.63,0.62
2025-07-02 14:37:33 CDT,-3.05,0.47,0.079,7.72,0.0,0.63,0.61
2025-07-02 14:37:34 CDT,-4.9,9.29,1.171,6.79,0.01,18.55,7.95
2025-07-02 14:37:34 CDT,-4.87,7.88,0.086,7.71,0.0,0.65,0.66
2025-07-02 14:37:34 CDT,0.68,18.59,0.091,7.72,0.0,0.65,0.7
2025-07-02 14:37:34 CDT,-1.68,16.05,2.051,6.92,0.0,12.05,14.19
2025-07-02 14:37:34 CDT,-1.94,16.74,0.086,7.72,0.0,0.57,0.66
2025-07-02 14:37:34 CDT,2.41,8.53,0.08,7.72,0.0,0.63,0.62
2025-07-02 14:37:35 CDT,-0.6,8.29,1.085,7.29,0.0,7.58,7.91
2025-07-02 14:37:35 CDT,-0.47,7.06,0.09,7.71,0.0,0.7,0.69
2025-07-02 14:37:35 CDT,4.76,12.88,0.095,7.72,0.0,0.73,0.73
2025-07-02 14:37:35 CDT,1.78,16.51,0.203,7.67,0.0,1.2,1.56
2025-07-02 14:37:35 CDT,1.78,15.99,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:35 CDT,5.81,16.05,0.081,7.72,0.0,0.63,0.63
2025-07-02 14:37:36 CDT,2.41,14.38,0.049,7.72,0.0,4.18,0.38
2025-07-02 14:37:36 CDT,2.38,14.56,0.086,7.71,0.0,0.65,0.66
2025-07-02 14:37:36 CDT,2.28,5.16,0.085,7.71,0.0,0.65,0.66
2025-07-02 14:37:36 CDT,-1.47,7.74,0.086,7.67,0.0,0.65,0.66
2025-07-02 14:37:36 CDT,-1.6,6.04,0.076,7.72,0.0,0.57,0.59
2025-07-02 14:37:37 CDT,-0.73,16.71,0.079,7.72,0.0,0.63,0.61
2025-07-02 14:37:37 CDT,-0.8,13.16,0.066,7.72,0.0,0.5,0.51
2025-07-02 14:37:37 CDT,-1.15,17.13,0.085,7.72,0.0,0.65,0.66
2025-07-02 14:37:37 CDT,-0.77,0.32,0.084,7.72,0.0,0.65,0.65
2025-07-02 14:37:37 CDT,-0.94,4.31,0.093,7.71,0.0,0.7,0.72
2025-07-02 14:37:37 CDT,-0.91,4.24,0.076,7.72,0.0,0.57,0.59
2025-07-02 14:37:38 CDT,1.47,4.06,0.078,7.71,0.0,0.63,0.6
2025-07-02 14:37:38 CDT,1.28,2.74,0.038,7.73,0.0,0.65,0.29
2025-07-02 14:37:38 CDT,4.03,3.46,0.021,7.74,0.0,0.17,0.16
2025-07-02 14:37:38 CDT,5.94,3.0,0.078,7.71,0.0,0.63,0.6
2025-07-02 14:37:38 CDT,5.42,5.24,0.076,7.71,0.0,0.57,0.59
2025-07-02 14:37:38 CDT,7.05,3.57,0.076,7.72,0.0,0.57,0.59
2025-07-02 14:37:39 CDT,10.7,14.41,0.08,7.72,0.0,0.63,0.62
2025-07-02 14:37:39 CDT,9.96,12.75,0.088,7.71,0.0,0.7,0.68
2025-07-02 14:37:39 CDT,12.0,17.6,0.084,7.71,0.0,0.65,0.65
2025-07-02 14:37:39 CDT,7.01,5.59,0.065,7.71,0.0,0.5,0.5
2025-07-02 14:37:39 CDT,6.21,6.68,0.08,7.71,0.0,0.63,0.62
2025-07-02 14:37:39 CDT,7.31,-0.07,0.078,7.72,0.0,0.63,0.6
2025-07-02 14:37:40 CDT,2.72,6.83,0.075,7.71,0.0,0.7,0.58
2025-07-02 14:37:40 CDT,2.52,5.03,0.089,7.71,0.0,0.65,0.69
2025-07-02 14:37:40 CDT,3.58,9.73,0.086,7.71,0.0,0.65,0.66
2025-07-02 14:37:40 CDT,-0.8,20.46,0.051,7.72,0.0,0.4,0.39
2025-07-02 14:37:40 CDT,-1.07,21.84,0.076,7.72,0.0,0.57,0.59
2025-07-02 14:37:40 CDT,-0.56,19.88,0.081,7.72,0.0,0.63,0.63
2025-07-02 14:37:41 CDT,-4.22,24.98,0.08,7.72,0.0,0.63,0.62
2025-07-02 14:37:41 CDT,-4.43,22.98,0.081,7.71,0.0,0.65,0.62
2025-07-02 14:37:41 CDT,-7.04,28.2,0.066,7.71,0.0,0.65,0.51
2025-07-02 14:37:41 CDT,-10.79,15.39,0.088,7.71,0.0,0.7,0.68
2025-07-02 14:37:41 CDT,-11.06,16.85,0.078,7.71,0.0,0.63,0.6
2025-07-02 14:37:41 CDT,-6.3,10.23,0.078,7.71,0.0,0.63,0.6
2025-07-02 14:37:42 CDT,-6.67,17.1,0.083,7.71,0.0,0.65,0.64
2025-07-02 14:37:42 CDT,-6.61,15.73,0.091,7.71,0.0,0.7,0.7
2025-07-02 14:37:42 CDT,-2.0,26.4,0.085,7.71,0.0,0.65,0.66
2025-07-02 14:37:42 CDT,-4.46,25.8,0.038,7.73,0.0,0.27,0.29
2025-07-02 14:37:42 CDT,-4.55,26.47,0.079,7.71,0.0,0.63,0.61
2025-07-02 14:37:42 CDT,-0.21,25.58,0.084,7.71,0.0,0.65,0.65
2025-07-02 14:37:43 CDT,-3.56,24.83,2.466,6.69,0.0,16.6,16.49
2025-07-02 14:37:43 CDT,-3.62,24.51,0.038,7.72,0.0,0.27,0.29
2025-07-02 14:37:43 CDT,1.43,24.51,0.096,7.72,0.0,0.73,0.74
2025-07-02 14:37:43 CDT,-1.92,16.63,1.253,7.16,0.0,9.05,8.97
2025-07-02 14:37:43 CDT,-1.95,18.52,0.078,7.71,0.0,0.63,0.6
2025-07-02 14:37:43 CDT,1.52,7.08,0.076,7.71,0.0,0.57,0.59
2025-07-02 14:37:44 CDT,-2.49,10.13,0.474,7.48,0.0,3.58,3.54
2025-07-02 14:37:44 CDT,-2.67,8.88,0.085,7.71,0.0,0.65,0.66
2025-07-02 14:37:44 CDT,4.02,9.41,0.099,7.72,0.0,0.78,0.76
2025-07-02 14:37:44 CDT,0.0,9.61,0.129,7.7,0.0,0.98,0.99
2025-07-02 14:37:44 CDT,0.04,9.87,0.079,7.71,0.0,0.73,0.61
2025-07-02 14:37:44 CDT,1.82,2.65,0.098,7.71,0.0,0.73,0.76
2025-07-02 14:37:45 CDT,-3.01,1.53,0.046,7.7,0.0,3.85,0.35
2025-07-02 14:37:45 CDT,-3.36,0.51,0.088,7.71,0.0,0.7,0.68
2025-07-02 14:37:45 CDT,-1.54,3.01,0.089,7.71,0.0,0.7,0.69
2025-07-02 14:37:45 CDT,-1.8,7.05,0.088,7.71,0.0,0.5,0.68
2025-07-02 14:37:45 CDT,-1.8,6.68,0.083,7.71,0.0,0.65,0.64
2025-07-02 14:37:46 CDT,1.38,9.83,0.081,7.71,0.0,0.63,0.62
2025-07-02 14:37:46 CDT,0.74,8.03,0.02,7.73,0.0,0.37,0.15
2025-07-02 14:37:46 CDT,0.48,8.61,0.048,7.73,0.0,0.27,0.37
2025-07-02 14:37:46 CDT,3.61,-5.29,0.074,7.71,0.0,0.57,0.57
2025-07-02 14:37:46 CDT,3.31,-3.08,0.094,7.7,0.0,0.73,0.72
