Timestamp,Load Cell 1 (mN),Load Cell 2 (mN),Current (A),Voltage (V),Shunt Voltage (mV),Power (W),Manual Power (W)
2025-07-02 14:43:03 CDT,1.23,4.35,0.084,7.64,0.0,0.65,0.64
2025-07-02 14:43:03 CDT,1.92,15.9,0.083,7.64,0.0,0.63,0.63
2025-07-02 14:43:03 CDT,3.34,-11.81,0.035,7.65,0.0,0.27,0.27
2025-07-02 14:43:04 CDT,0.97,-12.29,0.249,7.57,0.0,1.52,1.89
2025-07-02 14:43:04 CDT,2.86,3.65,0.074,7.65,0.0,1.48,0.57
2025-07-02 14:43:04 CDT,2.01,5.38,0.09,7.64,0.0,0.7,0.69
2025-07-02 14:43:04 CDT,2.92,13.85,0.075,7.64,0.0,0.57,0.57
2025-07-02 14:43:04 CDT,-0.94,-10.76,0.083,7.64,0.0,0.63,0.63
2025-07-02 14:43:04 CDT,-0.48,-4.24,0.085,7.64,0.0,0.65,0.65
2025-07-02 14:43:05 CDT,1.23,17.24,0.195,7.52,0.0,1.48,1.47
2025-07-02 14:43:05 CDT,2.47,5.07,1.411,7.0,0.0,10.03,9.88
2025-07-02 14:43:05 CDT,2.47,7.7,0.075,7.64,0.0,0.57,0.57
2025-07-02 14:43:05 CDT,1.05,-14.23,0.081,7.64,0.0,0.63,0.62
2025-07-02 14:43:05 CDT,1.15,10.91,0.084,7.64,0.0,0.65,0.64
2025-07-02 14:43:05 CDT,-0.5,15.33,0.036,7.66,0.0,0.17,0.28
2025-07-02 14:43:06 CDT,-2.89,13.19,0.095,7.63,0.0,0.73,0.72
2025-07-02 14:43:06 CDT,-0.86,-4.84,0.07,7.63,0.0,0.53,0.53
2025-07-02 14:43:06 CDT,1.38,-1.05,2.355,6.67,0.0,15.45,15.7
2025-07-02 14:43:06 CDT,4.02,23.47,0.078,7.64,0.0,0.63,0.6
2025-07-02 14:43:06 CDT,4.2,-4.38,0.085,7.64,0.0,0.65,0.65
2025-07-02 14:43:07 CDT,2.34,22.95,0.08,7.64,0.0,0.57,0.61
2025-07-02 14:43:07 CDT,-0.16,9.18,0.02,7.66,0.0,0.17,0.15
2025-07-02 14:43:07 CDT,-1.98,15.07,0.13,7.62,0.0,0.98,0.99
2025-07-02 14:43:07 CDT,2.37,21.32,0.31,7.39,0.0,2.33,2.29
2025-07-02 14:43:07 CDT,3.28,-1.62,0.086,7.65,0.0,1.85,0.66
2025-07-02 14:43:07 CDT,7.95,18.08,0.074,7.64,0.0,0.57,0.57
2025-07-02 14:43:08 CDT,9.05,3.68,0.036,7.66,0.0,0.45,0.28
2025-07-02 14:43:08 CDT,6.61,16.05,0.075,7.64,0.0,0.57,0.57
2025-07-02 14:43:08 CDT,3.43,30.68,0.023,7.65,0.0,0.17,0.18
2025-07-02 14:43:08 CDT,0.57,2.36,0.594,7.44,0.0,4.43,4.42
2025-07-02 14:43:08 CDT,5.09,34.77,1.873,6.78,0.0,12.98,12.7
2025-07-02 14:43:08 CDT,6.56,5.89,0.084,7.63,0.0,0.65,0.64
2025-07-02 14:43:09 CDT,11.62,33.66,0.08,7.64,0.0,0.63,0.61
2025-07-02 14:43:09 CDT,12.61,17.25,0.02,7.66,0.0,0.17,0.15
2025-07-02 14:43:09 CDT,8.92,24.86,0.08,7.64,0.0,0.63,0.61
2025-07-02 14:43:09 CDT,6.66,30.52,0.056,7.64,0.0,0.45,0.43
2025-07-02 14:43:09 CDT,2.95,8.63,0.183,7.6,0.0,0.98,1.39
2025-07-02 14:43:09 CDT,1.21,36.4,1.68,6.78,0.0,11.38,11.39
2025-07-02 14:43:10 CDT,2.31,3.39,0.08,7.64,0.0,0.63,0.61
2025-07-02 14:43:10 CDT,6.54,33.37,0.076,7.64,0.0,0.57,0.58
2025-07-02 14:43:10 CDT,7.1,10.74,0.088,7.63,0.0,0.65,0.67
2025-07-02 14:43:10 CDT,4.09,26.92,0.081,7.64,0.0,0.63,0.62
2025-07-02 14:43:10 CDT,3.38,22.56,0.02,7.66,0.0,0.17,0.15
2025-07-02 14:43:10 CDT,0.44,10.99,1.026,7.19,0.0,7.43,7.38
2025-07-02 14:43:11 CDT,-0.2,30.77,0.078,7.64,0.0,0.63,0.6
2025-07-02 14:43:11 CDT,0.09,-1.01,0.079,7.63,0.0,0.65,0.6
2025-07-02 14:43:11 CDT,2.59,16.44,0.078,7.64,0.0,0.63,0.6
2025-07-02 14:43:11 CDT,2.27,10.31,0.078,7.63,0.0,0.63,0.6
2025-07-02 14:43:11 CDT,0.14,-10.84,0.098,7.63,0.0,0.73,0.75
2025-07-02 14:43:11 CDT,0.61,14.53,0.06,7.64,0.0,0.37,0.46
2025-07-02 14:43:12 CDT,-0.71,-18.23,1.99,6.88,0.0,13.68,13.68
2025-07-02 14:43:12 CDT,1.15,12.21,0.075,7.63,0.0,0.57,0.57
2025-07-02 14:43:12 CDT,0.77,-10.7,0.086,7.63,0.0,0.65,0.66
2025-07-02 14:43:12 CDT,2.37,6.7,0.083,7.63,0.0,0.63,0.63
2025-07-02 14:43:12 CDT,1.58,1.13,0.038,7.64,0.0,0.27,0.29
2025-07-02 14:43:12 CDT,2.17,-10.26,0.11,7.63,0.0,0.73,0.84
2025-07-02 14:43:13 CDT,4.22,8.09,0.138,7.59,0.0,1.08,1.05
2025-07-02 14:43:13 CDT,3.38,-23.0,1.829,7.11,0.0,12.3,13.0
2025-07-02 14:43:13 CDT,6.1,8.17,0.091,7.63,0.0,0.7,0.69
2025-07-02 14:43:13 CDT,4.03,-19.01,0.079,7.63,0.0,0.63,0.6
2025-07-02 14:43:13 CDT,2.94,5.99,0.078,7.63,0.0,0.63,0.6
2025-07-02 14:43:13 CDT,0.87,-6.61,0.045,7.63,0.0,0.33,0.34
2025-07-02 14:43:14 CDT,-0.57,-5.52,0.066,7.63,0.0,0.5,0.5
2025-07-02 14:43:14 CDT,2.68,5.32,1.093,7.23,0.0,7.9,7.91
2025-07-02 14:43:14 CDT,2.32,-20.45,0.088,7.63,0.0,0.65,0.67
2025-07-02 14:43:14 CDT,6.78,9.91,0.08,7.63,0.0,0.63,0.61
2025-07-02 14:43:14 CDT,4.18,-2.09,0.089,7.63,0.0,0.7,0.68
2025-07-02 14:43:14 CDT,1.91,6.01,0.076,7.63,0.0,0.65,0.58
2025-07-02 14:43:15 CDT,-1.2,8.56,0.046,7.65,0.0,0.37,0.35
2025-07-02 14:43:15 CDT,-4.69,-21.88,0.048,7.64,0.0,0.37,0.37
2025-07-02 14:43:15 CDT,-0.21,10.64,2.265,6.63,0.0,15.4,15.03
2025-07-02 14:43:15 CDT,0.66,-17.17,0.085,7.63,0.0,0.65,0.65
2025-07-02 14:43:15 CDT,5.73,9.29,0.074,7.63,0.0,0.57,0.56
2025-07-02 14:43:16 CDT,6.48,-2.88,0.086,7.63,0.0,0.65,0.66
2025-07-02 14:43:16 CDT,2.74,0.64,0.075,7.63,0.0,0.57,0.57
