Timestamp,Load Cell 1 (mN),Load Cell 2 (mN)
2025-06-25 18:05:45 CDT,0.47,-8.81
2025-06-25 18:05:45 CDT,1.25,-22.96
2025-06-25 18:05:45 CDT,1.18,-24.57
2025-06-25 18:05:45 CDT,0.98,-25.38
2025-06-25 18:05:45 CDT,1.03,-25.51
2025-06-25 18:05:46 CDT,1.03,-25.59
2025-06-25 18:05:46 CDT,0.91,-25.81
2025-06-25 18:05:46 CDT,0.56,-23.52
2025-06-25 18:05:46 CDT,-0.23,-20.07
2025-06-25 18:05:46 CDT,-0.58,-13.34
2025-06-25 18:05:46 CDT,0.07,-9.08
2025-06-25 18:05:46 CDT,0.7,-6.57
2025-06-25 18:05:46 CDT,0.68,-5.74
2025-06-25 18:05:46 CDT,0.71,-5.34
2025-06-25 18:05:46 CDT,0.81,-5.5
2025-06-25 18:05:47 CDT,0.93,-5.64
2025-06-25 18:05:47 CDT,1.07,0.88
2025-06-25 18:05:47 CDT,1.21,1.53
2025-06-25 18:05:47 CDT,0.74,-1.96
2025-06-25 18:05:47 CDT,-0.16,-6.11
2025-06-25 18:05:47 CDT,-0.31,-11.03
2025-06-25 18:05:47 CDT,0.31,-19.17
2025-06-25 18:05:47 CDT,0.3,-25.09
2025-06-25 18:05:47 CDT,0.11,-25.7
2025-06-25 18:05:47 CDT,0.14,-27.3
2025-06-25 18:05:48 CDT,0.31,-28.58
2025-06-25 18:05:48 CDT,0.41,-28.82
2025-06-25 18:05:48 CDT,0.37,-27.66
2025-06-25 18:05:48 CDT,-0.23,-24.23
2025-06-25 18:05:48 CDT,-0.63,-20.47
2025-06-25 18:05:48 CDT,-0.24,-16.89
2025-06-25 18:05:48 CDT,0.26,-13.27
2025-06-25 18:05:48 CDT,0.34,-14.16
2025-06-25 18:05:48 CDT,0.29,-14.67
2025-06-25 18:05:48 CDT,0.5,-14.53
2025-06-25 18:05:49 CDT,0.3,-13.23
2025-06-25 18:05:49 CDT,0.83,-18.82
2025-06-25 18:05:49 CDT,0.83,-58.12
2025-06-25 18:05:49 CDT,-0.46,-240.1
2025-06-25 18:05:49 CDT,-4.82,-728.69
2025-06-25 18:05:49 CDT,-14.34,-911.36
2025-06-25 18:05:49 CDT,-33.04,-1047.44
2025-06-25 18:05:49 CDT,-43.67,-1166.33
2025-06-25 18:05:49 CDT,-52.76,-1268.7
2025-06-25 18:05:49 CDT,-71.3,-1332.66
2025-06-25 18:05:49 CDT,-93.71,-1351.81
2025-06-25 18:05:50 CDT,-135.91,-1328.17
2025-06-25 18:05:50 CDT,-164.14,-1286.19
2025-06-25 18:05:50 CDT,-163.83,-1234.3
2025-06-25 18:05:50 CDT,-121.44,-1186.21
2025-06-25 18:05:50 CDT,-104.3,-1133.04
2025-06-25 18:05:50 CDT,-94.93,-1048.1
2025-06-25 18:05:50 CDT,-85.04,-881.27
2025-06-25 18:05:50 CDT,-74.6,-571.27
2025-06-25 18:05:50 CDT,-45.54,168.23
2025-06-25 18:05:50 CDT,-12.01,409.48
2025-06-25 18:05:51 CDT,33.68,602.99
2025-06-25 18:05:51 CDT,80.37,757.58
2025-06-25 18:05:51 CDT,138.26,919.17
2025-06-25 18:05:51 CDT,178.45,1053.49
2025-06-25 18:05:51 CDT,194.73,1134.3
2025-06-25 18:05:51 CDT,204.35,1242.86
2025-06-25 18:05:51 CDT,221.89,1269.07
2025-06-25 18:05:51 CDT,263.1,1254.73
2025-06-25 18:05:51 CDT,290.46,1240.83
2025-06-25 18:05:51 CDT,290.53,1203.27
2025-06-25 18:05:52 CDT,246.36,1134.19
2025-06-25 18:05:52 CDT,203.65,1039.5
2025-06-25 18:05:52 CDT,185.44,923.79
2025-06-25 18:05:52 CDT,175.19,660.35
2025-06-25 18:05:52 CDT,164.1,556.34
2025-06-25 18:05:52 CDT,152.96,477.15
2025-06-25 18:05:52 CDT,122.57,392.37
2025-06-25 18:05:52 CDT,89.58,324.35
2025-06-25 18:05:52 CDT,51.39,236.08
2025-06-25 18:05:52 CDT,14.88,132.34
2025-06-25 18:05:53 CDT,-7.5,-82.67
2025-06-25 18:05:53 CDT,-14.12,-188.99
2025-06-25 18:05:53 CDT,-15.71,-267.75
2025-06-25 18:05:53 CDT,-15.89,-326.59
2025-06-25 18:05:53 CDT,-15.98,-367.25
2025-06-25 18:05:53 CDT,-16.03,-413.07
2025-06-25 18:05:53 CDT,-16.03,-483.15
2025-06-25 18:05:53 CDT,-16.08,-558.91
2025-06-25 18:05:53 CDT,-16.08,-644.79
2025-06-25 18:05:53 CDT,-16.03,-692.58
2025-06-25 18:05:54 CDT,-15.96,-742.37
2025-06-25 18:05:54 CDT,-15.96,-810.5
2025-06-25 18:05:54 CDT,-15.89,-879.37
2025-06-25 18:05:54 CDT,-15.85,-939.58
2025-06-25 18:05:54 CDT,-15.79,-992.8
2025-06-25 18:05:54 CDT,-15.78,-1085.92
2025-06-25 18:05:54 CDT,-15.81,-1118.66
2025-06-25 18:05:54 CDT,-15.73,-1139.96
2025-06-25 18:05:54 CDT,-15.71,-1157.49
2025-06-25 18:05:54 CDT,-15.63,-1189.01
2025-06-25 18:05:55 CDT,-15.66,-1218.1
2025-06-25 18:05:55 CDT,-15.63,-1258.54
2025-06-25 18:05:55 CDT,-15.56,-1295.99
2025-06-25 18:05:55 CDT,-15.51,-1411.19
2025-06-25 18:05:55 CDT,-15.65,-1473.16
2025-06-25 18:05:55 CDT,-15.76,-1512.62
2025-06-25 18:05:55 CDT,-15.69,-1526.84
2025-06-25 18:05:55 CDT,-15.39,-1517.83
2025-06-25 18:05:55 CDT,-11.99,-1501.54
